1 Казан СД a.docx,"10 лет 1-й Казанской стрелковой дивизии имени ЦИК ТССР, 1932"
1 Казан СД.docx,"10 лет 1-й Казанской стрелковой дивизии имени ЦИК ТССР, 1932"
1 Конная армия.docx,"Клюев Л. Л. Боевой путь Первой конной армии. — М.; Л. Госиздат, 1930"
110 СП (т).docx,"Акулинин С. История 110 стр. имени тов. Багинского полка 37 Новочеркасской стр. дивизии им. Эстонского пролетариата, 1928"
110 СП.docx,"Акулинин С. История 110 стр. имени тов. Багинского полка 37 Новочеркасской стр. дивизии им. Эстонского пролетариата, 1928"
111Дневник путешествия вокруг Хингана.docx,"Третьяк И.А. Дневник путешествия вокруг Хингана (результаты командировки в 1908 и 1909 гг.), 1912"
111Отрывки из дневника 1914.docx,"Коллонтай А.М. Отрывки из дневника. 1914, 1914"
13 КП (ф).docx,"Александрович И.А. Боевой путь 13-го кавполка 3-й кавалерийской бессарабской им. Г.И. Котовского дивизии, 1928"
13 КП.docx,"Александрович И.А. Боевой путь 13-го кавполка 3-й кавалерийской бессарабской им. Г.И. Котовского дивизии, 1928"
130 СП (т).docx,"История 130-го Стрелкового Богунского полка 44-й Киевской стрелковой дивизии, 1928"
130 СП.docx,"История 130-го Стрелкового Богунского полка 44-й Киевской стрелковой дивизии, 1928"
131 СП (т).docx,"История 131-го стрелкового Таращанского полка 44-й киевской стрелковой дивизии, 1928"
131 СП.docx,"История 131-го стрелкового Таращанского полка 44-й киевской стрелковой дивизии, 1928"
132 СП (т).docx,"История 132-го стрелкового Донецкого полка (бывшей 41-й дивизии) 44-й киевской стрелковой дивизии, 1928"
132 СП.docx,"История 132-го стрелкового Донецкого полка (бывшей 41-й дивизии) 44-й киевской стрелковой дивизии, 1928"
1914-1915 Подготовка войны и ведение операций.docx,"Жоффр Ж. 1914-1915. Подготовка войны и ведение операций, 1923"
"1941 год. Том 1. М. МФ «Демократия», 1998.docx","МФ Демократия, Решин Л.Е. Наумова В.П. Яковлев А.Н. 1941 год, том 1, 1998"
"1941 год. Том 2. М. МФ «Демократия», 1998.docx","МФ Демократия, Решин Л.Е. Наумова В.П. Яковлев А.Н. 1941 год, том 2, 1998"
2 КА формат.docx,"Ефимов Н. Действия 2-ой Конной армии в 1920 году, 1926"
45 КП 8КД (т).docx,"Эпштейн Л.С. Краткий очерк истории 45 двух краснознаменного территориального кавалерийского полка 8-ой кавдивизии, 1928"
45 КП 8КД.docx,"Эпштейн Л.С. Краткий очерк истории 45 двух краснознаменного территориального кавалерийского полка 8-ой кавдивизии, 1928"
46 КП (т).docx,Осинский Ч. Краткая история 46-го Уральского кавалерийского полка VIII-й кавдивизии за период 1928-1929 г. 1929
46 КП.docx,Осинский Ч. Краткая история 46-го Уральского кавалерийского полка VIII-й кавдивизии за период 1928-1929 г. 1929
57 КП.docx,"Боевой путь 57-го Харупанского краснознаменного кавполка (К X-й годовщине РККА), 1928"
89 СП (т).docx,"Боевая история 89-го Чонгарского стрелкового полка (бывшей 89-й бригады) 30-й иркутской имени ВЦИК стрелковой дивизии, 1930"
89 СП.docx,"Боевая история 89-го Чонгарского стрелкового полка (бывшей 89-й бригады) 30-й иркутской имени ВЦИК стрелковой дивизии, 1930"
95 СП (т).docx,"Богачевский Краткая история 95-го Волжского стрелкового полка, 1922"
95 СП.docx,"Богачевский Краткая история 95-го Волжского стрелкового полка, 1922"
bio_0_djvu_alekseeva_ai01.docx,"Алексеева А.И. Анатолий Попов Страницы жизни, 1968"
bio_0_djvu_alter_ms01.docx,"Альтер М.С. Шаги к мечте, 2007"
bio_0_djvu_anisimov_ev02.docx,"Анисимов Е.В. Иван VI Антонович, 2008"
bio_0_djvu_antipov_av01.docx,"Антипов А.В. Лев Рохлин Жизнь и смерть генерала, 1998"
bio_0_djvu_arhangelsky_vv01.docx,"Архангельский В.В. Фрунзе, 1970"
bio_0_djvu_astafyev_ai01.docx,"Астафьев А.И. Воспоминания о Суворове, 1856"
bio_0_djvu_avdoshin_is01.docx,"Авдошин И.С. Броня и сердце О жизни генерал-лейтенанта танковых войск Ефима Григорьевича Пушкина, 1975"
bio_0_djvu_bacon_f01.docx,"Бэкон Ф. История правления короля Генриха VII, 1990"
bio_0_djvu_bahrevsky_va01.docx,"Бахревский В.А. Непобежденные Герои Людиновского подполья в годы Великой Отечественной войны, 2012"
bio_0_djvu_bahrevsky_va02.docx,"Бахревский В.А. Ярополк, 1997"
bio_0_djvu_balakin_vd02.docx,"Балакин В.Д. Генрих IV, 2011"
bio_0_djvu_balandin_rk01.docx,"Баландин Р.К. Маленков. Третий вождь Страны Советов, 2007"
bio_0_djvu_barlow_f01.docx,"Барлоу Ф. Вильгельм I и нормандское завоевание Англии, 2007"
bio_0_djvu_batyrov_ua01.docx,"Батыров У.А. Гордость Осетии, 2005"
bio_0_djvu_begunova_ai01.docx,"Бегунова А.И. Надежда Дурова, 2011"
bio_0_djvu_belloc_h01.docx,"Беллок Х. Ришелье, 2002"
bio_0_djvu_belyaev_ap01.docx,"Беляев А.П. Вася Коробко, 1981"
bio_0_djvu_belye_generaly.docx,"Волков Е.В. Егоров Н.Д. Купцов И.В. Белые генералы Восточного фронта Гражданской войны Биографический справочник, 2003"
bio_0_djvu_bluche_f01.docx,"Блюш Ф. Ришелье, 2006"
bio_0_djvu_bodrihin_ng02.docx,"Бодрихин Н.Г. Туполев, 2011"
bio_0_djvu_bogdanov_un01.docx,"Богданов Ю.Н. 30 лет в ОГПУ-НКВД-МВД от оперуполномоченного до заместителя министра, 2013"
bio_0_djvu_bogomolov_vm01.docx,Богомолов В.М. Красный Дундич. 1988
bio_0_djvu_boguslavsky_lb01.docx,"Богуславский Л.Б. Наши земляки — герои Сталинграда, 1981"
bio_0_djvu_bohanov_an01.docx,"Боханов А.Н. Борис Годунов, 2012"
bio_0_djvu_bohanov_an02.docx,"Боханов А.Н. Царь Алексей Михайлович, 2012"
bio_0_djvu_bohanov_an03.docx,"Боханов А.Н. Николай II, 1997"
bio_0_djvu_bomann-larsen_t01.docx,"Буманн-Ларсен Т. Руал Амундсен, 2005"
bio_0_djvu_bondarenko_au03.docx,"Бондаренко А.Ю. Денис Давыдов, 2012"
